date,open,high,low,close,adj close,volume,rsi,ma
2018-12-10,47.889999,48.759998,47.849998,47.860001,41.740974,26372100,0.0,NaN,
2018-12-17,47.860001,48.450001,44.799999,44.84,39.107086,185849800,0.0,47.889999,
2018-12-24,44.630001,47.740002,43.509998,46.75,40.772884,102648600,0.0,47.875,
2018-12-31,47.09,47.57,44.389999,47.220001,41.182793,106979600,0.0,46.79333366666666,
2019-01-07,47.099998,49.290001,46.75,48.93,42.674171,116994400,0.0,46.86750025,
2019-01-14,48.459999,49.380001,47.91,49.189999,42.900928,108055700,0.0,46.9139998,
2019-01-21,48.959999,50.040001,45.75,47.040001,41.02581,181935400,0.0,47.17166633333333,
2019-01-28,46.130001,49.049999,46.049999,48.73,42.499741,164342900,0.0,47.42714242857142,
2019-02-04,48.619999,50.720001,48.009998,48.84,42.595676,120871500,0.0,47.264999749999994,
2019-02-11,49.02,51.669998,48.580002,51.66,45.340721,93832800,0.0,47.41555522222222,
2019-02-18,51.349998,52.98,51.060001,52.490002,46.069191,85315700,0.0,47.5759997,
2019-02-25,53.060001,53.68,52.509998,53.299999,46.780113,91132400,0.0,47.91909045454545,
2019-03-04,53.75,54.099998,51.700001,52.48,46.060413,92101200,0.0,48.34749966666666,
2019-03-11,52.880001,54.689999,52.57,54.330002,47.684116,138427000,0.0,48.763076615384605,
2019-03-18,54.419998,54.990002,53.209999,53.259998,46.74501,99439700,63.8319588200841,49.05714264285713,
2019-03-25,52.970001,54.040001,52.380001,53.700001,47.13118,86695700,76.1511199260118,49.41466633333332,
2019-04-01,54.34,56.139999,54.099998,55.599998,48.798763,91876600,76.13702894270524,49.63687474999999,
2019-04-08,55.279999,56.490002,54.900002,56.419998,49.518456,61938500,76.62036323034508,49.91352917647058,
2019-04-15,56.459999,59.59,55.919998,58.490002,51.335239,101231400,77.09750519330947,50.21166638888888,
2019-04-22,58.150002,59.290001,51.52,52.43,46.016537,148105500,56.91126286779692,50.54052599999999,
