date,open,high,low,close,adj close,volume,rsi,ma
2022-12-14,159.25,161.619995,155.309998,156.800003,156.800003,140682300,0.0,NaN,
2022-12-15,153.440002,160.929993,153.279999,157.669998,157.669998,122334500,0.0,159.25,
2022-12-16,159.639999,160.990005,150.039993,150.229996,150.229996,139032200,0.0,156.345001,
2022-12-19,154.0,155.25,145.820007,149.869995,149.869995,139390600,0.0,157.44333366666666,
2022-12-20,146.050003,148.470001,137.660004,137.800003,137.800003,159563300,0.0,156.58250025,
2022-12-21,139.339996,141.259995,135.889999,137.570007,137.570007,145417400,0.0,154.4760008,
2022-12-22,136.0,136.630005,122.260002,125.349998,125.349998,210090300,0.0,151.95333333333335,
2022-12-23,126.370003,128.619995,121.019997,123.150002,123.150002,166989700,0.0,149.67428571428576,
2022-12-27,117.5,119.669998,108.760002,109.099998,109.099998,208643400,0.0,146.76125037500003,
2022-12-28,110.349998,116.269997,108.239998,112.709999,112.709999,221070500,0.0,143.51000033333335,
2022-12-29,120.389999,123.57,117.5,121.82,121.82,221923300,0.0,140.1940001,
2022-12-30,119.949997,124.480003,119.75,123.18,123.18,157777300,0.0,138.39363636363638,
2023-01-03,118.470001,118.800003,104.639999,108.099998,108.099998,231402800,0.0,136.85666641666668,
2023-01-04,109.110001,114.589996,107.519997,113.639999,113.639999,180389000,0.0,135.44230753846153,
2023-01-05,110.510002,111.75,107.160004,110.339996,110.339996,157986300,23.433208253663935,133.5614285,
2023-01-06,103.0,114.389999,101.809998,113.059998,113.059998,220911100,25.01960185691547,132.02466673333333,
2023-01-09,118.959999,123.519997,117.110001,119.769997,119.769997,190284000,32.802621616775625,130.21062506250001,
2023-01-10,121.07,122.760002,114.919998,118.849998,118.849998,167642500,32.59650176186594,129.54882352941178,
2023-01-11,122.089996,125.949997,120.510002,123.220001,123.220001,183810800,41.04642647085699,129.0777777777778,
2023-01-12,122.559998,124.129997,117.0,123.559998,123.559998,169400900,41.40806692092312,128.70999978947373,
2023-01-13,116.550003,122.629997,115.599998,122.400002,122.400002,180714100,47.906913699054144,128.40249970000005,
2023-01-17,125.699997,131.699997,125.019997,131.490005,131.490005,186477000,55.39038379919568,127.83809509523813,
2023-01-18,136.559998,136.679993,127.010002,128.779999,128.779999,195680300,64.90457219388915,127.74090881818186,
2023-01-19,127.260002,129.990005,124.309998,127.169998,127.169998,170291900,61.29334275517876,128.12434747826092,
2023-01-20,128.679993,133.509995,127.349998,133.419998,133.419998,138858100,59.48331893721669,128.08833308333337,
2023-01-23,135.869995,145.380005,134.270004,143.75,143.75,203119200,64.66561806190427,128.11199948000004,
2023-01-24,143.0,146.5,141.100006,143.889999,143.889999,158699100,82.42434668114127,128.41038392307698,
2023-01-25,141.910004,146.410004,138.070007,144.429993,144.429993,192734300,80.67343250261547,128.95074007407413,
