date,open,high,low,close,adj close,volume,rsi,ma
2018-12-10,25.0,25.191334,24.288668,24.380667,24.380667,95064000,0.0,NaN,
2018-12-17,24.133333,24.379999,20.791332,21.318001,21.318001,602053500,0.0,25.0,
2018-12-24,20.9,22.416,19.606001,22.257999,22.257999,483556500,0.0,24.5666665,
2018-12-31,22.519333,22.614,19.825333,21.179333,21.179333,484803000,0.0,23.344444333333332,
2019-01-07,21.448,23.227333,21.183332,23.150667,23.150667,466321500,0.0,23.1381665,
2019-01-14,22.825333,23.466667,19.982,20.150667,20.150667,657346500,0.0,22.800133199999998,
2019-01-21,20.321333,20.533333,18.618668,19.802668,19.802668,597877500,0.0,22.804333166666666,
2019-01-28,19.527332,21.073334,19.183332,20.813999,20.813999,632218500,0.0,22.44961885714286,
2019-02-04,20.865334,21.615999,19.9,20.386667,20.386667,472473000,0.0,22.084333,
2019-02-11,20.773333,21.24,20.066668,20.525333,20.525333,403419000,0.0,21.948888666666665,
2019-02-18,20.437332,20.769333,19.366667,19.647333,19.647333,389404500,0.0,21.831333100000002,
2019-02-25,19.860666,21.333332,19.251333,19.652666,19.652666,897375000,0.0,21.704605727272728,
2019-03-04,19.874666,19.933332,18.006666,18.942667,18.942667,966886500,0.0,21.550944083333334,
2019-03-11,18.901333,19.692667,18.293333,18.362,18.362,654450000,0.0,21.421999615384614,
2019-03-18,18.4,18.536667,17.563999,17.635332,17.635332,655237500,27.33218094453271,21.241952,
2019-03-25,17.313999,18.688667,16.964001,18.657333,18.657333,586657500,39.63752436712466,21.052488533333335,
2019-04-01,18.841333,19.744667,17.372667,18.330667,18.330667,874015500,33.93684831531537,20.8188329375,
2019-04-08,18.512667,18.743999,17.706667,17.846666,17.846666,599364000,35.672107224103314,20.70250941176471,
2019-04-15,17.908667,18.333332,17.242001,18.217333,18.217333,424714500,25.405465768899845,20.580851500000005,
2019-04-22,17.933332,17.978666,15.408667,15.676,15.676,1170429000,26.623004069833,20.440210210526317,
2019-04-29,15.724,17.107332,15.433333,17.002001,17.002001,1181244000,36.725016862323336,20.314866300000002,
2019-05-06,16.667999,17.223333,15.734667,15.968,15.968,612921000,27.07953158234038,20.096253619047623,
2019-05-13,15.467333,15.633333,13.928,14.068667,14.068667,759798000,23.769726261892913,19.940423863636365,
2019-05-20,13.52,13.826667,12.414667,12.708667,12.708667,1468485000,20.535769076803277,19.745941652173915,
2019-05-27,12.746667,13.0,12.273333,12.344,12.344,609220500,21.36248144018154,19.486527416666668,
2019-06-03,12.367333,14.066667,11.799333,13.633333,13.633333,1149426000,28.556507050739157,19.216933,
2019-06-10,14.016667,14.892,13.834,14.328,14.328,795565500,33.54256293061238,18.953486846153847,
2019-06-17,14.365333,15.649333,14.284667,14.790667,14.790667,775099500,37.15533119143606,18.770641666666666,
2019-06-24,14.882667,15.148667,14.49,14.897333,14.897333,504468000,39.69282343935626,18.613309214285714,
2019-07-01,15.347333,16.104668,14.814667,15.54,15.54,581088000,37.919813334744916,18.484666379310344,
2019-07-08,15.416,16.358667,15.152,16.338667,16.338667,568978500,42.5530872911257,18.3800886,
2019-07-15,16.533333,17.330667,16.323999,17.212,17.212,610812000,47.69447141899573,18.28447283870968,
2019-07-22,17.25,17.738001,14.816667,15.202667,15.202667,830764500,40.21381880074283,18.22974971875,
2019-07-29,15.139333,16.445333,15.068667,15.622667,15.622667,614347500,49.799218226179825,18.200060333333333,
2019-08-05,15.306667,15.986667,15.05,15.667333,15.667333,398122500,44.43888333333332,18.11003894117647,
2019-08-12,15.532667,15.733333,14.103333,14.662667,14.662667,484990500,44.547784103890635,18.0299426,
2019-08-19,14.947333,15.272667,14.066667,14.093333,14.093333,484900500,50.11590439921711,17.960573833333328,
2019-08-26,14.24,15.496,14.102667,15.040667,15.040667,422905500,61.40007821666014,17.879134891891887,
2019-09-02,14.938667,15.32,14.614,15.163333,15.163333,340497000,64.11642941282089,17.78336818421052,
2019-09-09,15.333333,16.9,15.262667,16.346666,16.346666,504352500,63.731443697514536,17.710427128205122,
2019-09-16,16.4,16.544666,15.877333,16.041332,16.041332,358687500,59.026405523068675,17.650999774999995,
2019-09-23,16.0,16.580667,14.557333,16.142,16.142,744895500,57.40158995831484,17.62048758536585,
2019-09-30,16.200001,16.396667,14.952,15.428667,15.428667,611299500,52.72889456078241,17.581904547619043,
2019-10-07,15.32,16.738667,15.236667,16.525999,16.525999,575932500,54.8380721136479,17.54976725581395,
2019-10-14,16.526667,17.652,16.475332,17.129999,17.129999,507615000,53.958507831455734,17.499090727272726,
2019-10-21,17.222,22.0,16.678667,21.875334,21.875334,1119138000,66.81409707157843,17.47748131111111,
2019-10-28,21.836,22.722668,20.653334,20.887333,20.887333,789709500,72.12620704869892,17.471927369565215,
2019-11-04,20.986668,22.766666,20.617332,22.476,22.476,663117000,74.4505703274191,17.5647799787234,
2019-11-11,22.93,23.755333,22.799999,23.478001,23.478001,555601500,76.08424363231538,17.6360693125,
2019-11-18,23.528,24.08,22.0,22.202667,22.202667,627463500,74.73319638446596,17.744108714285712,
2019-11-25,22.954666,22.971333,21.806667,21.996,21.996,424621500,76.55465169534556,17.859786539999998,
2019-12-02,21.959999,22.590668,21.816668,22.392668,22.392668,442773000,75.65366413621733,17.81887986,
2019-12-09,22.439333,24.347334,22.338667,23.892668,23.892668,586260000,77.78861888829036,17.775413179999997,
2019-12-16,24.17,27.533333,24.166668,27.039333,27.039333,1104777000,80.25654774857168,17.806199839999998,
2019-12-23,27.452,29.020666,27.333332,28.691999,28.691999,629308500,83.26087927032057,17.839213179999998,
2019-12-30,28.586,30.266666,26.805332,29.534,29.534,752740500,83.88892066115787,17.95929318,
2020-01-06,29.364668,33.253334,29.333332,31.876667,31.876667,1508389500,88.45146092173913,18.074506520000003,
2020-01-13,32.900002,36.493999,32.799999,34.033333,34.033333,1623726000,88.9964591792577,18.255373220000003,
2020-01-20,35.349998,39.633331,35.227333,37.654667,37.654667,1247656500,90.30027954021949,18.522826620000004,
2020-01-27,36.132668,43.533333,35.952,43.371334,43.371334,1318846500,90.65667413274716,18.812519900000005,
2020-02-03,44.912666,64.599335,44.901333,49.871334,49.871334,3200578500,95.36120927495844,19.1197066,
2020-02-10,53.333332,54.666,49.0,53.335335,53.335335,1355883000,95.61840690053734,19.609213280000002,
2020-02-17,56.106667,62.985332,55.490665,60.066666,60.066666,1106316000,96.25309463961052,20.278666600000005,
2020-02-24,55.933334,57.566666,40.768002,44.532665,44.532665,1426024500,70.74841519446443,21.00330662,
2020-03-02,47.417332,53.798668,45.618,46.898666,46.898666,1268154000,72.24617544318036,21.74394664,
2020-03-09,40.359333,44.533333,33.466667,36.441334,36.441334,1313100000,60.63787869673748,22.324293279999996,
2020-03-16,31.299999,32.991333,23.367332,28.502001,28.502001,1901269500,53.1801370940918,22.78519996,
2020-03-23,28.906668,37.333332,27.366667,34.290668,34.290668,1384957500,54.82697212708477,23.034373280000004,
2020-03-30,34.017334,36.197334,29.76,32.000668,32.000668,1283149500,52.18393990516251,23.2422533,
2020-04-06,34.080002,38.345333,33.197334,38.200001,38.200001,886914000,55.3423042525637,23.56442664,
2020-04-13,39.344002,51.663334,38.702,50.259335,50.259335,1656225000,60.11993966352506,23.887360039999997,
2020-04-20,48.846668,51.037998,44.919334,48.343334,48.343334,1133548500,57.898804454483816,24.35976008,
2020-04-27,49.174,57.987999,45.535999,46.754665,46.754665,1696846500,55.138299913484566,25.00333346,
2020-05-04,46.733334,54.933334,46.533333,54.627998,54.627998,1124493000,56.20493583892708,25.677466799999994,
2020-05-11,52.700668,56.219334,50.886665,53.278,53.278,1135389000,51.99086731711392,26.341733479999995,
2020-05-18,55.185333,55.647999,53.066666,54.458668,54.458668,762805500,50.67448002168168,27.140813499999993,
2020-05-25,55.633331,55.666668,52.333332,55.666668,55.666668,579889500,47.17044367591945,27.997173499999995,
2020-06-01,57.200001,60.577332,56.939999,59.043999,59.043999,797313000,61.06147970850993,28.829506779999992,
2020-06-08,61.266666,68.498665,60.610668,62.352001,62.352001,1152093000,61.612762089503995,29.686200139999993,
2020-06-15,61.186001,67.946671,60.566666,66.726669,66.726669,871060500,75.04852213534548,30.61388011999999,
2020-06-22,66.66333,67.466667,62.476665,63.982666,63.982666,626950500,82.10454640537435,31.53065347999999,
2020-06-29,64.60067,81.866669,63.234669,80.577332,80.577332,847828500,85.031681245609,32.55560008,
2020-07-06,85.112663,103.26133,84.402664,102.976669,102.976669,1401391500,91.18210953008983,33.516946819999994,
2020-07-13,110.599998,119.666,95.400002,100.056,100.056,1536031500,87.30999368487814,34.874200079999994,
2020-07-20,101.267334,112.599998,91.102669,94.466667,94.466667,1366722000,78.92215784016781,36.783413379999985,
2020-07-27,95.666664,104.313332,94.199997,95.384003,95.384003,916702500,81.18331934103425,38.502626719999995,
2020-08-03,96.613335,101.827332,94.334,96.847336,96.847336,555912000,83.26176669035792,40.10530665999999,
2020-08-10,96.533333,111.253334,91.0,110.047333,110.047333,1064706000,84.36758195957374,41.738626700000005,
2020-08-17,111.800003,139.699326,111.522003,136.665329,136.665329,1365352500,89.3725209189802,43.384493359999986,
2020-08-24,141.751999,154.565994,128.501328,147.559998,147.559998,1331041500,90.26548806523763,45.32172008,
2020-08-31,148.203339,167.496674,124.006668,139.440002,139.440002,1506928800,84.18724311004901,47.8500934,
2020-09-07,118.666664,132.996674,109.959999,124.239998,124.239998,1021738800,74.26457252738378,50.48616018,
2020-09-14,126.98333,153.979996,124.433334,147.383331,147.383331,1247352300,77.57546179663241,52.539493459999996,
2020-09-21,151.043335,151.893326,117.099998,135.779999,135.779999,1343704200,71.39092495066106,54.75516004,
2020-09-28,141.539993,149.626663,137.199997,138.363327,138.363327,810768000,73.06415289520858,57.469626739999995,
2020-10-05,141.116669,146.333328,135.350006,144.666672,144.666672,619030800,71.22782022693659,59.96989325999999,
2020-10-12,147.333328,155.300003,145.53334,146.556671,146.556671,568748400,66.70414507323184,62.44778664,
2020-10-19,148.746674,149.0,135.793335,140.210007,140.210007,522074400,64.99708958509191,64.95773319999999,
2020-10-26,137.210007,143.5,126.370003,129.346664,129.346664,424631100,62.53353592531047,67.51293331999999,
2020-11-02,131.333328,146.666672,130.766663,143.316666,143.316666,436909200,65.74667231969158,69.79853346,
2020-11-09,146.5,150.833328,132.009995,136.166672,136.166672,366303300,62.451811909202696,71.95464002,
2020-11-16,136.309998,169.536667,134.696671,163.203339,163.203339,784374300,65.47728246390204,74.4255467,
2020-11-23,167.833328,199.593338,167.263336,195.253326,195.253326,571200300,66.53583259053136,76.71254668,
2020-11-30,200.736664,202.600006,180.403336,199.679993,199.679993,668506800,65.26774110368237,79.62042658000001,
2020-12-07,201.639999,218.106674,188.779999,203.330002,203.330002,916272300,69.21889015779489,83.15175986,
2020-12-14,206.333328,231.666672,201.666672,231.666672,231.666672,1252812600,79.94833383086149,86.63551984000001,
2020-12-21,222.080002,222.833328,204.743332,220.589996,220.589996,497399700,71.88060151805391,90.1904664,
2020-12-28,224.83667,239.573334,218.333328,235.223328,235.223328,443055900,79.19365479892537,94.04477308000001,
2021-01-04,239.820007,294.829987,239.063339,293.339996,293.339996,756413400,84.30964206720493,97.88350644,
2021-01-11,283.133331,289.333344,267.873322,275.386658,275.386658,626786100,77.51999519865296,101.97290661999999,
2021-01-18,279.266663,286.5,276.206665,282.213318,282.213318,274861500,77.97774839159342,106.91291987999999,
2021-01-25,285.0,300.133331,260.033325,264.51001,264.51001,459023400,74.48843068647975,111.59999982000001,
2021-02-01,271.429993,293.5,265.186676,284.07666,284.07666,307381200,79.47275878911482,116.23333318,
2021-02-08,289.890015,292.589996,261.776672,272.040009,272.040009,350779800,74.70097560985158,120.5397997,
2021-02-15,272.666656,273.666656,254.003326,260.433319,260.433319,248142600,73.44477014190927,125.21893332000002,
2021-02-22,254.213333,256.166656,206.333328,225.166672,225.166672,662270100,61.33821475899761,129.72391980000003,
2021-03-01,230.036667,240.369995,179.830002,199.316666,199.316666,709177200,50.76078270474411,134.00099980000002,
2021-03-08,200.183334,239.28334,186.263336,231.243332,231.243332,749261100,55.357892056964424,137.97573316000003,
2021-03-15,231.363327,237.726669,208.206665,218.289993,218.289993,534067800,52.46171276579285,141.40126648000003,
2021-03-22,228.196671,233.206665,199.963333,206.236664,206.236664,530631000,45.57846584531987,145.34818634000004,
2021-03-29,205.213333,230.806671,197.003326,220.583328,220.583328,410115300,49.998853665040535,149.23051972000002,
2021-04-05,235.903336,236.053329,222.613327,225.67334,225.67334,425356200,48.30250578048166,152.54790634000003,
2021-04-12,228.566666,260.263336,227.363327,246.593338,246.593338,535902900,40.42468946266676,156.28903970000005,
