date,open
Thu Nov 17 00:00:00 EST 2022,29.07
Fri Nov 18 00:00:00 EST 2022,30.26
Mon Nov 21 00:00:00 EST 2022,29.66
Tue Nov 22 00:00:00 EST 2022,29.139999
Wed Nov 23 00:00:00 EST 2022,29.73
Fri Nov 25 00:00:00 EST 2022,29.68
Mon Nov 28 00:00:00 EST 2022,29.1
Tue Nov 29 00:00:00 EST 2022,28.85
Wed Nov 30 00:00:00 EST 2022,28.77
Thu Dec 01 00:00:00 EST 2022,30.24
Fri Dec 02 00:00:00 EST 2022,29.17
Mon Dec 05 00:00:00 EST 2022,29.42
Tue Dec 06 00:00:00 EST 2022,29.190001
Wed Dec 07 00:00:00 EST 2022,28.280001
Thu Dec 08 00:00:00 EST 2022,28.32
Fri Dec 09 00:00:00 EST 2022,28.389999
Mon Dec 12 00:00:00 EST 2022,28.129999
Tue Dec 13 00:00:00 EST 2022,29.790001
Wed Dec 14 00:00:00 EST 2022,28.51
Thu Dec 15 00:00:00 EST 2022,27.940001
Fri Dec 16 00:00:00 EST 2022,27.0
Mon Dec 19 00:00:00 EST 2022,26.9
Tue Dec 20 00:00:00 EST 2022,26.540001
Wed Dec 21 00:00:00 EST 2022,26.59
Thu Dec 22 00:00:00 EST 2022,26.450001
Fri Dec 23 00:00:00 EST 2022,25.92
Tue Dec 27 00:00:00 EST 2022,25.85
Wed Dec 28 00:00:00 EST 2022,25.84
Thu Dec 29 00:00:00 EST 2022,25.77
Fri Dec 30 00:00:00 EST 2022,25.9
Tue Jan 03 00:00:00 EST 2023,27.049999
Wed Jan 04 00:00:00 EST 2023,27.41
Thu Jan 05 00:00:00 EST 2023,27.440001
Fri Jan 06 00:00:00 EST 2023,27.93
Mon Jan 09 00:00:00 EST 2023,28.84
Tue Jan 10 00:00:00 EST 2023,29.24
Wed Jan 11 00:00:00 EST 2023,29.68
Thu Jan 12 00:00:00 EST 2023,29.98
Fri Jan 13 00:00:00 EST 2023,29.969999
Tue Jan 17 00:00:00 EST 2023,30.18
Wed Jan 18 00:00:00 EST 2023,29.799999
Thu Jan 19 00:00:00 EST 2023,28.610001
Fri Jan 20 00:00:00 EST 2023,28.42
Mon Jan 23 00:00:00 EST 2023,29.33
Tue Jan 24 00:00:00 EST 2023,29.940001
Wed Jan 25 00:00:00 EST 2023,29.52
Thu Jan 26 00:00:00 EST 2023,30.059999
Fri Jan 27 00:00:00 EST 2023,27.07
Mon Jan 30 00:00:00 EST 2023,27.719999
Tue Jan 31 00:00:00 EST 2023,27.780001
Wed Feb 01 00:00:00 EST 2023,27.889999
Thu Feb 02 00:00:00 EST 2023,29.25
Fri Feb 03 00:00:00 EST 2023,29.620001
Mon Feb 06 00:00:00 EST 2023,29.549999
Tue Feb 07 00:00:00 EST 2023,28.65
Wed Feb 08 00:00:00 EST 2023,28.950001
Thu Feb 09 00:00:00 EST 2023,28.68
Fri Feb 10 00:00:00 EST 2023,27.629999
Mon Feb 13 00:00:00 EST 2023,27.870001
Tue Feb 14 00:00:00 EST 2023,28.379999
Wed Feb 15 00:00:00 EST 2023,28.360001
Thu Feb 16 00:00:00 EST 2023,28.5
Fri Feb 17 00:00:00 EST 2023,28.0
Tue Feb 21 00:00:00 EST 2023,27.110001
Wed Feb 22 00:00:00 EST 2023,25.91
Thu Feb 23 00:00:00 EST 2023,25.780001
Fri Feb 24 00:00:00 EST 2023,25.219999
Mon Feb 27 00:00:00 EST 2023,25.549999
Tue Feb 28 00:00:00 EST 2023,24.940001
Wed Mar 01 00:00:00 EST 2023,25.030001
Thu Mar 02 00:00:00 EST 2023,25.209999
Fri Mar 03 00:00:00 EST 2023,26.200001
Mon Mar 06 00:00:00 EST 2023,26.469999
Tue Mar 07 00:00:00 EST 2023,25.84
Wed Mar 08 00:00:00 EST 2023,25.559999
Thu Mar 09 00:00:00 EST 2023,25.98
Fri Mar 10 00:00:00 EST 2023,26.549999
Mon Mar 13 00:00:00 EDT 2023,26.74
Tue Mar 14 00:00:00 EDT 2023,27.35
Wed Mar 15 00:00:00 EDT 2023,27.73
Thu Mar 16 00:00:00 EDT 2023,28.389999
Fri Mar 17 00:00:00 EDT 2023,29.92
Mon Mar 20 00:00:00 EDT 2023,29.799999
Tue Mar 21 00:00:00 EDT 2023,29.0
Wed Mar 22 00:00:00 EDT 2023,28.48
Thu Mar 23 00:00:00 EDT 2023,28.379999
Fri Mar 24 00:00:00 EDT 2023,29.040001
Mon Mar 27 00:00:00 EDT 2023,29.370001
Tue Mar 28 00:00:00 EDT 2023,29.08
Wed Mar 29 00:00:00 EDT 2023,29.77
Thu Mar 30 00:00:00 EDT 2023,31.85
Fri Mar 31 00:00:00 EDT 2023,31.799999
Mon Apr 03 00:00:00 EDT 2023,32.939999
Tue Apr 04 00:00:00 EDT 2023,32.849998
Wed Apr 05 00:00:00 EDT 2023,32.799999
Thu Apr 06 00:00:00 EDT 2023,32.599998
Mon Apr 10 00:00:00 EDT 2023,32.599998
Tue Apr 11 00:00:00 EDT 2023,32.66
Wed Apr 12 00:00:00 EDT 2023,32.77
Thu Apr 13 00:00:00 EDT 2023,31.82
